City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Yulara,AU,-25.2406,130.9889,67.84,56,0,2.3,clear sky
1,Castro,BR,-24.7911,-50.0119,75.07,65,37,5.53,scattered clouds
2,Sitka,US,57.0531,-135.33,37.29,52,100,8.05,overcast clouds
3,Cape Town,ZA,-33.9258,18.4232,68.09,61,0,8.05,clear sky
4,Kapaa,US,22.0752,-159.319,77.18,71,0,1.99,clear sky
5,Rikitea,PF,-23.1203,-134.9692,79.21,72,89,18.81,overcast clouds
6,Thompson,CA,55.7435,-97.8558,-9.24,70,100,14.97,overcast clouds
7,Itarema,BR,-2.9248,-39.9167,83.48,64,89,10.38,overcast clouds
8,Aswan,EG,24.0934,32.907,54.14,34,0,11.36,clear sky
9,Katsuura,JP,35.1333,140.3,37.42,96,100,22.62,overcast clouds
10,Kismayo,SO,-0.3582,42.5454,77.22,80,4,17.29,clear sky
11,Cidreira,BR,-30.1811,-50.2056,76.23,74,1,16.46,clear sky
12,Hobart,AU,-42.8794,147.3294,54.27,70,18,5.1,few clouds
13,Dallas,US,32.7668,-96.7836,72.32,18,75,5.75,broken clouds
14,Vaini,TO,-21.2,-175.2,81.5,80,81,21.97,broken clouds
15,Cotonou,BJ,6.3654,2.4183,84.18,84,20,11.5,few clouds
16,Punta Arenas,CL,-53.15,-70.9167,51.91,54,40,31.07,scattered clouds
17,Lorengau,PG,-2.0226,147.2712,80.08,82,100,6.35,overcast clouds
18,Tres Lagoas,BR,-20.7511,-51.6783,85.21,54,96,6.76,overcast clouds
19,Ariquemes,BR,-9.9133,-63.0408,85.39,69,55,5.06,broken clouds
20,Upernavik,GL,72.7868,-56.1549,-5.13,95,100,5.59,overcast clouds
21,Dikson,RU,73.5069,80.5464,7.29,91,100,27.6,overcast clouds
22,Avarua,CK,-21.2078,-159.775,80.65,74,20,8.05,few clouds
23,Haicheng,CN,40.8516,122.7475,29.86,71,47,6.22,scattered clouds
24,Richards Bay,ZA,-28.783,32.0377,73.06,88,3,6.26,clear sky
25,Ahipara,NZ,-35.1667,173.1667,73.62,95,99,9.8,overcast clouds
26,Balabac,PH,7.9868,117.0645,80.2,82,100,16.11,overcast clouds
27,Mataura,NZ,-46.1927,168.8643,58.48,92,100,2.55,overcast clouds
28,Souillac,MU,-20.5167,57.5167,77.38,88,40,2.3,scattered clouds
29,Karratha,AU,-20.7377,116.8463,84.02,74,9,9.06,clear sky
30,Beringovskiy,RU,63.05,179.3167,-27.78,94,25,2.93,scattered clouds
31,Oksfjord,NO,70.2396,22.3479,28.58,94,100,9.86,snow
32,Oussouye,SN,12.485,-16.5469,80.78,34,6,6.08,clear sky
33,Tasiilaq,GL,65.6145,-37.6368,17.76,59,43,6.89,scattered clouds
34,Port Alfred,ZA,-33.5906,26.891,70.92,79,81,7.63,broken clouds
35,Mikhaylovka,RU,50.06,43.2379,35.78,93,98,11.41,overcast clouds
36,Iskilip,TR,40.7353,34.4739,26.08,85,14,3.6,few clouds
37,Ishinomaki,JP,38.4167,141.3,31.69,88,100,10.11,overcast clouds
38,Mudanjiang,CN,44.5833,129.6,5.38,98,100,0.94,overcast clouds
39,Bengkulu,ID,-3.8004,102.2655,75.2,78,100,5.17,overcast clouds
40,Sistranda,NO,63.7256,8.834,31.96,61,100,28.63,snow
41,Garden City,US,42.3256,-83.331,34.05,68,100,17.27,overcast clouds
42,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,102.81,18,6,6.2,clear sky
43,Yellowknife,CA,62.456,-114.3525,-8.59,81,75,11.5,broken clouds
44,Conakry,GN,9.538,-13.6773,82.47,78,1,6.91,haze
45,Jeremie,HT,18.65,-74.1167,79.34,73,32,2.57,scattered clouds
46,Maniitsoq,GL,65.4167,-52.9,15.71,91,100,7.99,overcast clouds
47,Mount Isa,AU,-20.7333,139.5,80.37,29,45,12.66,scattered clouds
48,Jamestown,US,42.097,-79.2353,38.52,53,92,11.01,overcast clouds
49,Bluff,NZ,-46.6,168.3333,58.8,83,65,12.93,broken clouds
50,Hithadhoo,MV,-0.6,73.0833,81.46,70,100,6.89,overcast clouds
51,Tongliao,CN,43.6125,122.2653,7.81,98,86,8.57,overcast clouds
52,Hermanus,ZA,-34.4187,19.2345,64.9,77,0,3.47,clear sky
53,Saint George,US,37.1041,-113.5841,64.87,29,0,4.0,clear sky
54,Albany,US,42.6001,-73.9662,45.27,69,25,9.86,scattered clouds
55,East London,ZA,-33.0153,27.9116,71.65,79,9,4.18,clear sky
56,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,30,5.3,scattered clouds
57,Poronaysk,RU,49.2167,143.1167,4.46,96,45,4.61,scattered clouds
58,Sarangani,PH,5.4033,125.4636,81.46,80,100,19.95,overcast clouds
59,Tuktoyaktuk,CA,69.4541,-133.0374,-13.0,70,100,12.66,light snow
60,Nicoya,CR,10.1483,-85.452,90.95,33,11,7.23,few clouds
61,Hilo,US,19.7297,-155.09,76.8,63,0,4.61,clear sky
62,Leua,SK,48.2156,18.6071,43.5,81,84,2.08,broken clouds
63,Bethel,US,41.3712,-73.414,52.38,49,9,4.0,clear sky
64,Kazanka,UA,47.8462,32.8218,38.26,90,94,5.73,overcast clouds
65,Palembang,ID,-2.9167,104.7458,73.27,94,100,4.16,overcast clouds
66,Provideniya,RU,64.3833,-173.3,-19.93,92,47,3.69,scattered clouds
67,Banihal,IN,33.4167,75.2,32.16,81,4,5.55,clear sky
68,Ushuaia,AR,-54.8,-68.3,49.62,87,100,4.76,light rain
69,Carnarvon,AU,-24.8667,113.6333,78.87,73,75,8.05,broken clouds
70,Namie,JP,37.4833,141.0,34.72,95,100,11.59,overcast clouds
71,Margate,GB,51.3813,1.3862,42.04,70,54,1.99,broken clouds
72,Chokurdakh,RU,70.6333,147.9167,-28.68,96,44,8.86,scattered clouds
73,Te Anau,NZ,-45.4167,167.7167,61.79,81,33,1.12,scattered clouds
74,Esperance,AU,-33.8667,121.9,73.49,47,14,20.22,few clouds
75,Alta Floresta,BR,-9.8756,-56.0861,85.82,70,40,2.3,scattered clouds
76,Le Vauclin,MQ,14.5452,-60.8388,84.25,54,0,17.27,clear sky
77,Kieta,PG,-6.2167,155.6333,78.6,84,74,4.36,light rain
78,Nome,US,64.5011,-165.4064,-20.13,76,40,5.75,scattered clouds
79,Cherskiy,RU,68.75,161.3,-35.21,99,100,6.53,overcast clouds
80,Visakhapatnam,IN,17.69,83.2093,69.69,94,20,2.3,mist
81,Pasighat,IN,28.0667,95.3333,57.13,86,100,4.09,overcast clouds
82,Abeche,TD,13.8292,20.8324,69.93,10,0,11.16,clear sky
83,Vestmannaeyjar,IS,63.4427,-20.2734,37.56,54,100,19.51,overcast clouds
84,Tiksi,RU,71.6872,128.8694,-10.12,92,100,16.4,overcast clouds
85,Dunda,TZ,-8.1167,34.25,64.11,96,100,2.86,light rain
86,Slave Lake,CA,55.2834,-114.769,37.38,81,100,24.16,overcast clouds
87,Constitucion,CL,-35.3333,-72.4167,66.25,63,100,7.83,overcast clouds
88,Hami,CN,42.8,93.45,25.72,61,87,4.03,overcast clouds
89,Faanui,PF,-16.4833,-151.75,81.18,75,56,15.37,broken clouds
90,Barrow,US,71.2906,-156.7887,-27.38,62,100,8.05,haze
91,Pangoa,PE,-12.1167,-73.0,82.44,50,100,3.53,light rain
92,Aklavik,CA,68.2191,-135.0107,-17.57,93,100,7.27,overcast clouds
93,Havoysund,NO,70.9963,24.6622,25.68,72,100,15.43,light snow
94,Madimba,TZ,-10.4,40.3333,79.43,84,100,8.5,overcast clouds
95,Busselton,AU,-33.65,115.3333,64.09,62,0,4.68,clear sky
96,Coxcatlan,MX,18.2667,-97.15,76.48,39,100,4.34,overcast clouds
97,Port Elizabeth,ZA,-33.918,25.5701,64.69,82,0,3.44,clear sky
98,Cabra,ES,37.4725,-4.4421,56.39,52,100,2.26,overcast clouds
99,Arlit,NE,18.7369,7.3853,67.5,16,0,8.59,clear sky
